"","id_ccbh","ccbh_go","pao1_go"
"1","PA4851_00005","GO:0003688 GO:0005524 GO:0005737 GO:0005886 GO:0006270 GO:0006275","GO:0003688 GO:0005524 GO:0005737 GO:0005886 GO:0006260 GO:0006270 GO:0006275"
"2","PA4851_00010","GO:0003677 GO:0003887 GO:0005829 GO:0006271 GO:0006974 GO:0008408 GO:0009360 GO:0042802 GO:0071897 GO:0090305","GO:0003677 GO:0003887 GO:0005737 GO:0006271 GO:0008408 GO:0009360"
"3","PA4851_00015","GO:0000731 GO:0003697 GO:0005524 GO:0005737 GO:0006260 GO:0006302 GO:0009432","GO:0000731 GO:0003697 GO:0005524 GO:0005737 GO:0006260 GO:0006302 GO:0009432"
"4","PA4851_00020","GO:0003677 GO:0005515 GO:0005524 GO:0005694 GO:0005829 GO:0006261 GO:0006265 GO:0006351 GO:0009330 GO:0034335 GO:0042493 GO:0046677 GO:0046872","GO:0003677 GO:0003918 GO:0005524 GO:0005694 GO:0005737 GO:0006261 GO:0006265 GO:0046872"
"5","PA4851_00025","GO:0006310 GO:0032196","GO:0003677 GO:0004803 GO:0006313"
"6","PA4851_00030","GO:0005515 GO:0006259 GO:0032196","GO:0003676 GO:0015074 GO:0032196"
"7","PA4851_00040","GO:0000166 GO:0003677 GO:0004386 GO:0005524 GO:0006355 GO:0016787 GO:0016817","GO:0003677 GO:0004386 GO:0005524 GO:0006355"
"8","PA4851_00055","GO:0005783 GO:0009507 GO:0016020 GO:0016746 GO:0044446 GO:0046474 GO:0048518 GO:0048856","GO:0003841 GO:0005886 GO:0006654 GO:0008654 GO:0016021 GO:0042171"
"9","PA4851_00060","GO:0000287 GO:0005829 GO:0008270 GO:0009244 GO:0016311 GO:0034200 GO:0097171","GO:0000287 GO:0005737 GO:0008270 GO:0009244 GO:0034200 GO:0097171"
"10","PA4851_00065","GO:0009055 GO:0016020 GO:0016021 GO:0020037 GO:0022900 GO:0046872 GO:0055114","GO:0004130 GO:0009055 GO:0020037 GO:0046872"
"11","PA4851_00070","GO:0004814 GO:0004820 GO:0005524 GO:0005829 GO:0006420 GO:0006426","GO:0004814 GO:0004820 GO:0005524 GO:0005829 GO:0006420 GO:0006426"
"12","PA4851_00075","GO:0004820 GO:0005524 GO:0005737 GO:0006426","GO:0004820 GO:0005524 GO:0005737 GO:0006426"
"13","PA4851_00080","GO:0005515 GO:0006139 GO:0006974 GO:0016787","GO:0006284 GO:0006307 GO:0008725"
"14","PA4851_00085","GO:0008610 GO:0016020 GO:0016051 GO:0016747 GO:0044249 GO:0044255 GO:0071944 GO:1901137 GO:1903509","GO:0016021 GO:0016740 GO:0034605 GO:0071236 GO:0071470"
"15","PA4851_00095","GO:0005887 GO:0022857 GO:0072531 GO:1990397","GO:0005887 GO:0022857 GO:1990397"
"16","PA4851_00110","GO:0005515 GO:0005886 GO:0015079 GO:0071805","GO:0005886 GO:0006813 GO:0008324 GO:0015079 GO:0016020"
"17","PA4851_00115","GO:0003723 GO:0005829 GO:0006355 GO:0009383 GO:0070475","GO:0003723 GO:0005829 GO:0006355 GO:0009383 GO:0070475"
"18","PA4851_00120","GO:0004479 GO:0005829 GO:0006413 GO:0022898 GO:0071951","GO:0004479 GO:0005829 GO:0022898 GO:0071951"
