"","id_ccbh","bpo_ecoli","cco_ecoli","mfo_ecoli","bp_ecoli","cc_ecoli","mf_ecoli","bpo_pao1","cco_pao1","mfo_pao1","bp_pao1","cc_pao1","mf_pao1"
"1","PA4851_00165",0.125,0.669,0.143,1,3,1,0,0,0,0,0,0
"2","PA4851_00185",NA,NA,0.308,NA,NA,2,0,0,0,0,0,0
"3","PA4851_00220",NA,NA,0.049,NA,NA,1,0,0,0,0,0,0
"4","PA4851_00235",0.215,0.05,0.23,1,1,1,0,0,0,0,0,0
"5","PA4851_00250",NA,NA,0.071,NA,NA,1,0,0,0,0,0,0
"6","PA4851_00255",NA,0.399,NA,NA,2,NA,0,0,0,0,0,0
"7","PA4851_00265",NA,0.492,NA,NA,2,NA,0,0,0,0,0,0
"8","PA4851_00270",0.203,NA,0.482,1,NA,2,0,0,0,0,0,0
"9","PA4851_00310",0.227,0.236,0.658,1,1,3,0,0,0,0,0,0
"10","PA4851_00355",0.126,NA,0.161,1,NA,1,0,0,0,0,0,0
"11","PA4851_00380",0.083,NA,0.362,1,NA,2,0,0,0,0,0,0
"12","PA4851_00605",NA,NA,0.094,NA,NA,1,0,0,0,0,0,0
"13","PA4851_00610",0.273,NA,0.167,2,NA,1,0,0,0,0,0,0
"14","PA4851_00680",0.103,NA,NA,1,NA,NA,0,0,0,0,0,0
"15","PA4851_00735",NA,NA,0.543,NA,NA,3,0,0,0,0,0,0
"16","PA4851_00745",0.168,0.287,0.048,1,2,1,0,0,0,0,0,0
"17","PA4851_00750",0.252,0.353,0.056,2,2,1,0,0,0,0,0,0
"18","PA4851_00845",0.488,0.288,0.37,2,2,2,0,0,0,0,0,0
"19","PA4851_00850",0.33,0.839,0.661,2,4,3,0,0,0,0,0,0
"20","PA4851_00900",0.118,0.481,0.091,1,2,1,0,0,0,0,0,0
"21","PA4851_00935",0.405,NA,0.717,2,NA,3,0,0,0,0,0,0
"22","PA4851_00960",NA,1,0.298,NA,4,2,0,0,0,0,0,0
"23","PA4851_01040",NA,0.701,0.41,NA,3,2,0,0,0,0,0,0
"24","PA4851_01060",0.169,0.649,0.16,1,3,1,0,0,0,0,0,0
"25","PA4851_01070",0.572,0.649,NA,3,3,NA,0,0,0,0,0,0
"26","PA4851_01095",0.059,NA,NA,1,NA,NA,0,0,0,0,0,0
"27","PA4851_01110",0.826,0.601,0.741,4,3,3,0,0,0,0,0,0
"28","PA4851_01125",0.075,NA,0.094,1,NA,1,0,0,0,0,0,0
"29","PA4851_01130",0.042,NA,0.053,1,NA,1,0,0,0,0,0,0
"30","PA4851_01135",0.08,NA,NA,1,NA,NA,0,0,0,0,0,0
"31","PA4851_01160",0.11,NA,0.076,1,NA,1,0,0,0,0,0,0
"32","PA4851_01185",NA,NA,0.425,NA,NA,2,0,0,0,0,0,0
"33","PA4851_01190",NA,NA,0.517,NA,NA,3,0,0,0,0,0,0
"34","PA4851_01210",NA,NA,0.174,NA,NA,1,0,0,0,0,0,0
"35","PA4851_01250",0.088,0.151,0.042,1,1,1,0,0,0,0,0,0
"36","PA4851_01280",NA,0.428,NA,NA,2,NA,0,0,0,0,0,0
"37","PA4851_01390",NA,0.148,NA,NA,1,NA,0,0,0,0,0,0
"38","PA4851_01580",0.726,0.681,0.951,3,3,4,0,0,0,0,0,0
"39","PA4851_01605",NA,0.321,NA,NA,2,NA,0,0,0,0,0,0
"40","PA4851_01645",NA,0.346,NA,NA,2,NA,0,0,0,0,0,0
"41","PA4851_01700",0.481,0.594,0.526,2,3,3,0,0,0,0,0,0
"42","PA4851_01735",NA,0.486,NA,NA,2,NA,0,0,0,0,0,0
"43","PA4851_01810",NA,NA,0.297,NA,NA,2,0,0,0,0,0,0
"44","PA4851_01865",0.397,NA,0.311,2,NA,2,0,0,0,0,0,0
"45","PA4851_01910",NA,0.321,NA,NA,2,NA,0,0,0,0,0,0
"46","PA4851_01915",NA,0.411,0.312,NA,2,2,0,0,0,0,0,0
"47","PA4851_01970",0.091,0.608,0.368,1,3,2,0,0,0,0,0,0
"48","PA4851_01985",NA,0.169,0.064,NA,1,1,0,0,0,0,0,0
"49","PA4851_02040",0.225,0.336,0.347,1,2,2,0,0,0,0,0,0
"50","PA4851_02075",NA,NA,0.104,NA,NA,1,0,0,0,0,0,0
"51","PA4851_02120",0.244,NA,0.261,1,NA,2,0,0,0,0,0,0
"52","PA4851_02170",0.519,0.512,0.482,3,3,2,0,0,0,0,0,0
"53","PA4851_02235",0.2,0.301,0.207,1,2,1,0,0,0,0,0,0
"54","PA4851_02270",0.162,0.348,0.053,1,2,1,0,0,0,0,0,0
"55","PA4851_02275",0.548,0.611,0.034,3,3,1,0,0,0,0,0,0
"56","PA4851_02295",0.12,NA,0.398,1,NA,2,0,0,0,0,0,0
"57","PA4851_02300",NA,0.432,NA,NA,2,NA,0,0,0,0,0,0
"58","PA4851_02320",0.16,NA,0.237,1,NA,1,0,0,0,0,0,0
"59","PA4851_02380",NA,0.398,0.055,NA,2,1,0,0,0,0,0,0
"60","PA4851_02425",0.359,NA,0.744,2,NA,3,0,0,0,0,0,0
"61","PA4851_02455",0.434,NA,NA,2,NA,NA,0,0,0,0,0,0
"62","PA4851_02485",0.224,NA,0.31,1,NA,2,0,0,0,0,0,0
"63","PA4851_02490",0.141,NA,0.185,1,NA,1,0,0,0,0,0,0
