"","Entry","Entry.name","Status","Protein.names","Gene.names","Organism","Length","EC.number","Cross.reference..GeneID.","Cross.reference..KEGG.","Cross.reference..GeneDB.","Ensembl.transcript","Cross.reference..RefSeq.","Cross.reference..UniGene.","Gene.ontology..GO.","Gene.ontology.IDs","Involvement.in.disease","Interacts.with","g_o"
"1","P31663","PANC_ECOLI","reviewed","Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)","panC b0133 JW0129","Escherichia coli (strain K12)",283,"6.3.2.1","944958;","ecj:JW0129;eco:b0133;",NA,NA,"NP_414675.1;WP_000905383.1;",NA,"cytosol [GO:0005829]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; pantoate-beta-alanine ligase activity [GO:0004592]; pantothenate biosynthetic process from valine [GO:0033317]","GO:0004592; GO:0005524; GO:0005829; GO:0033317; GO:0042802",NA,"Itself; P65556","GO:0004592 GO:0005524 GO:0005829 GO:0033317 GO:0042802"
"2","P0A790","PAND_ECOLI","reviewed","Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]","panD b0131 JW0127","Escherichia coli (strain K12)",126,"4.1.1.11","945686;","ecj:JW0127;eco:b0131;",NA,NA,"NP_414673.1;WP_000621515.1;",NA,"cytosol [GO:0005829]; aspartate 1-decarboxylase activity [GO:0004068]; alanine biosynthetic process [GO:0006523]; pantothenate biosynthetic process [GO:0015940]; protein autoprocessing [GO:0016540]","GO:0004068; GO:0005829; GO:0006523; GO:0015940; GO:0016540",NA,"","GO:0004068 GO:0005829 GO:0006523 GO:0015940 GO:0016540"
"3","P77324","PAOB_ECOLI","reviewed","Aldehyde oxidoreductase FAD-binding subunit PaoB (EC 1.2.99.6)","paoB yagS b0285 JW0279","Escherichia coli (strain K12)",318,"1.2.99.6","945710;","ecj:JW0279;eco:b0285;",NA,NA,"NP_414819.1;WP_000643333.1;",NA,"periplasmic space [GO:0042597]; 4 iron, 4 sulfur cluster binding [GO:0051539]; carboxylate reductase activity [GO:0047770]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]","GO:0016903; GO:0042597; GO:0046872; GO:0047770; GO:0050660; GO:0051539; GO:0071949",NA,"","GO:0016903 GO:0042597 GO:0046872 GO:0047770 GO:0050660 GO:0051539 GO:0071949"
"4","P77489","PAOC_ECOLI","reviewed","Aldehyde oxidoreductase molybdenum-binding subunit PaoC (EC 1.2.99.6)","paoC yagR b0284 JW0278","Escherichia coli (strain K12)",732,"1.2.99.6","944961;","ecj:JW0278;eco:b0284;",NA,NA,"NP_414818.1;WP_000667026.1;",NA,"periplasmic space [GO:0042597]; carboxylate reductase activity [GO:0047770]; molybdenum ion binding [GO:0030151]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; cellular response to DNA damage stimulus [GO:0006974]","GO:0006974; GO:0016903; GO:0030151; GO:0042597; GO:0047770",NA,"","GO:0006974 GO:0016903 GO:0030151 GO:0042597 GO:0047770"
"5","P77183","PAOD_ECOLI","reviewed","Molybdenum cofactor insertion chaperone PaoD","paoD yagQ b0283 JW0277","Escherichia coli (strain K12)",318,"","945010;","ecj:JW0277;eco:b0283;",NA,NA,"NP_414817.1;WP_000121359.1;",NA,"molybdopterin cofactor binding [GO:0043546]","GO:0043546",NA,"","GO:0043546"
"6","P0ABF1","PCNB_ECOLI","reviewed","Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein)","pcnB b0143 JW5808","Escherichia coli (strain K12)",465,"2.7.7.19","947318;","ecj:JW5808;eco:b0143;",NA,NA,"NP_414685.4;",NA,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; polynucleotide adenylyltransferase activity [GO:0004652]; RNA binding [GO:0003723]; mRNA polyadenylation [GO:0006378]; mRNA processing [GO:0006397]; plasmid maintenance [GO:0006276]; RNA modification [GO:0009451]","GO:0003723; GO:0004652; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006276; GO:0006378; GO:0006397; GO:0009451",NA,"","GO:0003723 GO:0004652 GO:0005524 GO:0005737 GO:0005829 GO:0005886 GO:0006276 GO:0006378 GO:0006397 GO:0009451"
"7","P23842","PDEA_ECOLI","reviewed","Probable cyclic di-GMP phosphodiesterase PdeA (EC 3.1.4.52)","pdeA yfeA b2395 JW5391","Escherichia coli (strain K12)",729,"3.1.4.52","946864;","ecj:JW5391;eco:b2395;",NA,NA,"NP_416896.4;WP_000497400.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]","GO:0005886; GO:0016021; GO:0071111",NA,"","GO:0005886 GO:0016021 GO:0071111"
"8","P77473","PDEB_ECOLI","reviewed","Probable cyclic di-GMP phosphodiesterase PdeB (EC 3.1.4.52)","pdeB ylaB b0457 JW5062","Escherichia coli (strain K12)",516,"3.1.4.52","948951;","ecj:JW5062;eco:b0457;",NA,NA,"NP_414990.2;WP_001310610.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]","GO:0005886; GO:0016021; GO:0071111",NA,"","GO:0005886 GO:0016021 GO:0071111"
"9","P32701","PDEC_ECOLI","reviewed","Probable cyclic di-GMP phosphodiesterase PdeC (EC 3.1.4.52)","pdeC yjcC b4061 JW4022","Escherichia coli (strain K12)",528,"3.1.4.52","948568;","ecj:JW4022;eco:b4061;",NA,NA,"NP_418485.1;WP_000019548.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]","GO:0005886; GO:0016021; GO:0071111",NA,"","GO:0005886 GO:0016021 GO:0071111"
"10","P77334","PDER_ECOLI","reviewed","Cyclic di-GMP phosphodiesterase PdeR (EC 3.1.4.52)","pdeR gmr yciR b1285 JW1278","Escherichia coli (strain K12)",661,"3.1.4.52","945868;","ecj:JW1278;eco:b1285;",NA,NA,"NP_415801.1;WP_000859945.1;",NA,"cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]; GTP binding [GO:0005525]; negative regulation of cyclase activity [GO:0031280]; posttranscriptional regulation of gene expression [GO:0010608]","GO:0005525; GO:0010608; GO:0031280; GO:0071111",NA,"P77302; P33358","GO:0005525 GO:0010608 GO:0031280 GO:0071111"
"11","P05459","PDXB_ECOLI","reviewed","Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)","pdxB b2320 JW2317","Escherichia coli (strain K12)",378,"1.1.1.290","946785;","ecj:JW2317;eco:b2320;",NA,NA,"NP_416823.1;WP_000699148.1;",NA,"cytosol [GO:0005829]; 4-phosphoerythronate dehydrogenase activity [GO:0033711]; NAD binding [GO:0051287]; protein dimerization activity [GO:0046983]; 'de novo' pyridoxal 5'-phosphate biosynthetic process [GO:0036001]; pyridoxine biosynthetic process [GO:0008615]","GO:0005829; GO:0008615; GO:0033711; GO:0036001; GO:0046983; GO:0051287",NA,"","GO:0005829 GO:0008615 GO:0033711 GO:0036001 GO:0046983 GO:0051287"
"12","P64453","ORTT_ECOLI","reviewed","Orphan toxin OrtT","ortT ydcX b1445 JW5232","Escherichia coli (strain K12)",57,"","945936;","ecj:JW5232;eco:b1445;",NA,NA,"NP_415962.2;",NA,"integral component of plasma membrane [GO:0005887]; cytolysis [GO:0019835]","GO:0005887; GO:0019835",NA,"","GO:0005887 GO:0019835"
"13","P42905","PTPC2_ECOLI","reviewed","Putative N-acetylgalactosamine permease IIC component 2 (EIIC-Aga') (PTS system N-acetylgalactosamine-specific EIIC component 2)","agaW b3134","Escherichia coli (strain K12)",133,"","","",NA,NA,"WP_000406204.1;",NA,"integral component of plasma membrane [GO:0005887]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]","GO:0005887; GO:0009401",NA,"","GO:0005887 GO:0009401"
"14","P42911","PTPD_ECOLI","reviewed","N-acetylgalactosamine permease IID component (EIID-Aga) (PTS system N-acetylgalactosamine-specific EIID component)","agaD yraF b3140 JW3109","Escherichia coli (strain K12)",263,"","947649;","ecj:JW3109;eco:b3140;",NA,NA,"NP_417609.1;WP_000534347.1;",NA,"integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]","GO:0005886; GO:0005887; GO:0009401",NA,"","GO:0005886 GO:0005887 GO:0009401"
"15","P05458","PTRA_ECOLI","reviewed","Protease 3 (EC 3.4.24.55) (Pitrilysin) (Protease III) (Protease pi)","ptrA ptr b2821 JW2789","Escherichia coli (strain K12)",962,"3.4.24.55","947284;","ecj:JW2789;eco:b2821;",NA,NA,"NP_417298.1;WP_001138201.1;",NA,"cytoplasm [GO:0005737]; outer membrane-bounded periplasmic space [GO:0030288]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]","GO:0004222; GO:0005737; GO:0006508; GO:0008270; GO:0030288",NA,"","GO:0004222 GO:0005737 GO:0006508 GO:0008270 GO:0030288"
"16","P08722","PTV3B_ECOLI","reviewed","PTS system beta-glucoside-specific EIIBCA component (EIIBCA-Bgl) (EII-Bgl) [Includes: Beta-glucoside-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system beta-glucoside-specific EIIB component); Beta-glucoside permease IIC component (PTS system beta-glucoside-specific EIIC component); Beta-glucoside-specific phosphotransferase enzyme IIA component (PTS system beta-glucoside-specific EIIA component)]","bglF bglC bglS b3722 JW3700","Escherichia coli (strain K12)",625,"2.7.1.-","948236;","ecj:JW3700;eco:b3722;",NA,NA,"NP_418178.1;WP_000137296.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]","GO:0005886; GO:0008982; GO:0009401; GO:0016021; GO:0016301; GO:0034219",NA,"","GO:0005886 GO:0008982 GO:0009401 GO:0016021 GO:0016301 GO:0034219"
"17","P77272","PTYBC_ECOLI","reviewed","PTS system N-acetylmuramic acid-specific EIIBC component (EIIBC-MurNAc) [Includes: N-acetylmuramic acid-specific phosphotransferase enzyme IIB component (EC 2.7.1.192) (PTS system N-acetylmuramic acid-specific EIIB component); N-acetylmuramic acid permease IIC component (PTS system N-acetylmuramic acid-specific EIIC component)]","murP yfeV b2429 JW2422","Escherichia coli (strain K12)",474,"2.7.1.192","946894;","ecj:JW2422;eco:b2429;",NA,NA,"NP_416924.1;WP_001040483.1;",NA,"integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity [GO:0090588]; carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]","GO:0005886; GO:0005887; GO:0008982; GO:0009401; GO:0016020; GO:0016301; GO:0034219; GO:0090588",NA,"","GO:0005886 GO:0005887 GO:0008982 GO:0009401 GO:0016020 GO:0016301 GO:0034219 GO:0090588"
"18","P0AFE4","NUOK_ECOLI","reviewed","NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K) (NUO11)","nuoK b2279 JW2274","Escherichia coli (strain K12)",100,"7.1.1.-","947580;","ecj:JW2274;eco:b2279;",NA,NA,"NP_416782.1;WP_000612644.1;",NA,"integral component of plasma membrane [GO:0005887]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]","GO:0005886; GO:0005887; GO:0008137; GO:0030964; GO:0042773; GO:0045272; GO:0048038",NA,"","GO:0005886 GO:0005887 GO:0008137 GO:0030964 GO:0042773 GO:0045272 GO:0048038"
"19","P0AFF0","NUON_ECOLI","reviewed","NADH-quinone oxidoreductase subunit N (EC 7.1.1.-) (NADH dehydrogenase I subunit N) (NDH-1 subunit N) (NUO14)","nuoN b2276 JW2271","Escherichia coli (strain K12)",485,"7.1.1.-","945136;","ecj:JW2271;eco:b2276;",NA,NA,"NP_416779.2;WP_000156701.1;",NA,"integral component of plasma membrane [GO:0005887]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]","GO:0005886; GO:0005887; GO:0008137; GO:0009060; GO:0015990; GO:0030964; GO:0042773; GO:0045272; GO:0048038",NA,"","GO:0005886 GO:0005887 GO:0008137 GO:0009060 GO:0015990 GO:0030964 GO:0042773 GO:0045272 GO:0048038"
"20","P0AG16","PUR1_ECOLI","reviewed","Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)","purF b2312 JW2309","Escherichia coli (strain K12)",505,"2.4.2.14","946794;","ecj:JW2309;eco:b2312;",NA,NA,"NP_416815.1;WP_000334220.1;",NA,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; amidophosphoribosyltransferase activity [GO:0004044]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; transferase activity, transferring glycosyl groups [GO:0016757]; 'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]; nucleoside metabolic process [GO:0009116]; purine nucleobase biosynthetic process [GO:0009113]; purine nucleotide biosynthetic process [GO:0006164]","GO:0000287; GO:0004044; GO:0005737; GO:0005829; GO:0006164; GO:0006189; GO:0006541; GO:0009113; GO:0009116; GO:0016757; GO:0042802",NA,"","GO:0000287 GO:0004044 GO:0005737 GO:0005829 GO:0006164 GO:0006189 GO:0006541 GO:0009113 GO:0009116 GO:0016757 GO:0042802"
"21","P20083","PARE_ECOLI","reviewed","DNA topoisomerase 4 subunit B (EC 5.99.1.3) (Topoisomerase IV subunit B)","parE nfxD b3030 JW2998","Escherichia coli (strain K12)",630,"5.99.1.3","947501;","ecj:JW2998;eco:b3030;",NA,NA,"NP_417502.1;WP_000195296.1;",NA,"chromosome [GO:0005694]; cytosol [GO:0005829]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; chromosome organization [GO:0051276]; DNA topological change [GO:0006265]; plasmid partitioning [GO:0030541]; response to antibiotic [GO:0046677]; sister chromatid cohesion [GO:0007062]","GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005829; GO:0006265; GO:0007062; GO:0030541; GO:0046677; GO:0046872; GO:0051276",NA,"P76015","GO:0003677 GO:0003918 GO:0005524 GO:0005694 GO:0005829 GO:0006265 GO:0007062 GO:0030541 GO:0046677 GO:0046872 GO:0051276"
"22","P02918","PBPA_ECOLI","reviewed","Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]","mrcA ponA b3396 JW3359","Escherichia coli (strain K12)",850,"2.4.1.129; 3.4.16.4","947907;","ecj:JW3359;eco:b3396;",NA,NA,"NP_417855.4;WP_001336003.1;",NA,"integral component of plasma membrane [GO:0005887]; drug binding [GO:0008144]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]","GO:0005887; GO:0008144; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0046677; GO:0071555",NA,"P45464","GO:0005887 GO:0008144 GO:0008360 GO:0008658 GO:0008955 GO:0009002 GO:0009252 GO:0046677 GO:0071555"
"23","Q46790","PBL_ECOLI","reviewed","Putative peptidoglycan-binding-like protein","pbl b2854","Escherichia coli (strain K12)",158,"","","",NA,NA,"",NA,"periplasmic space [GO:0042597]","GO:0042597",NA,"","GO:0042597"
"24","P76577","PBPC_ECOLI","reviewed","Penicillin-binding protein 1C (PBP-1c) (PBP1c) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Transpeptidase-like module]","pbpC yfgN b2519 JW2503","Escherichia coli (strain K12)",770,"2.4.1.129","947152;","ecj:JW2503;eco:b2519;",NA,NA,"NP_417014.1;WP_001137675.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; carboxypeptidase activity [GO:0004180]; drug binding [GO:0008144]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; positive regulation of cell division [GO:0051781]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]","GO:0004180; GO:0005886; GO:0008144; GO:0008360; GO:0008658; GO:0008955; GO:0009252; GO:0016021; GO:0046677; GO:0051781; GO:0071555",NA,"","GO:0004180 GO:0005886 GO:0008144 GO:0008360 GO:0008658 GO:0008955 GO:0009252 GO:0016021 GO:0046677 GO:0051781 GO:0071555"
"25","P52006","NUDI_ECOLI","reviewed","Nucleoside triphosphatase NudI (EC 3.6.1.9) (Nucleotide diphosphatase NudI) (Pyrimidine deoxynucleoside triphosphate diphosphatase) (dCTP diphosphatase) (EC 3.6.1.12) (dTTP diphosphatase) (EC 3.6.1.-) (dUTP diphosphatase) (EC 3.6.1.23)","nudI yfaO b2251 JW2245","Escherichia coli (strain K12)",141,"3.6.1.9; 3.6.1.12; 3.6.1.-; 3.6.1.23","946740;","ecj:JW2245;eco:b2251;",NA,NA,"NP_416754.1;WP_001300564.1;",NA,"dCTP diphosphatase activity [GO:0047840]; dUTP diphosphatase activity [GO:0004170]; magnesium ion binding [GO:0000287]; NADH pyrophosphatase activity [GO:0035529]","GO:0000287; GO:0004170; GO:0035529; GO:0047840",NA,"","GO:0000287 GO:0004170 GO:0035529 GO:0047840"
"26","P0AFC3","NUOA_ECOLI","reviewed","NADH-quinone oxidoreductase subunit A (EC 7.1.1.-) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)","nuoA b2288 JW2283","Escherichia coli (strain K12)",147,"7.1.1.-","946764;","ecj:JW2283;eco:b2288;",NA,NA,"NP_416791.3;WP_000062997.1;",NA,"integral component of plasma membrane [GO:0005887]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]","GO:0005886; GO:0005887; GO:0008137; GO:0030964; GO:0045272; GO:0048038",NA,"","GO:0005886 GO:0005887 GO:0008137 GO:0030964 GO:0045272 GO:0048038"
"27","P0AFE0","NUOJ_ECOLI","reviewed","NADH-quinone oxidoreductase subunit J (EC 7.1.1.-) (NADH dehydrogenase I subunit J) (NDH-1 subunit J) (NUO10)","nuoJ b2280 JW2275","Escherichia coli (strain K12)",184,"7.1.1.-","946756;","ecj:JW2275;eco:b2280;",NA,NA,"NP_416783.1;WP_000393511.1;",NA,"integral component of plasma membrane [GO:0005887]; NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]","GO:0005886; GO:0005887; GO:0008137; GO:0030964; GO:0045272; GO:0048038",NA,"","GO:0005886 GO:0005887 GO:0008137 GO:0030964 GO:0045272 GO:0048038"
