"","Entry","Entry.name","Status","Protein.names","Gene.names","Organism","Length","EC.number","Cross.reference..GeneID.","Cross.reference..KEGG.","Cross.reference..GeneDB.","Ensembl.transcript","Cross.reference..RefSeq.","Cross.reference..UniGene.","Gene.ontology..GO.","Gene.ontology.IDs","Involvement.in.disease","Interacts.with","g_o"
"1","Q9HV68","PAND_PSEAE","reviewed","Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]","panD PA4731","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",126,"4.1.1.11","881637;","pae:PA4731;",NA,NA,"NP_253419.1;WP_003113912.1;",NA,"cytoplasm [GO:0005737]; aspartate 1-decarboxylase activity [GO:0004068]; alanine biosynthetic process [GO:0006523]; pantothenate biosynthetic process [GO:0015940]","GO:0004068; GO:0005737; GO:0006523; GO:0015940",NA,"","GO:0004068 GO:0005737 GO:0006523 GO:0015940"
"2","Q9HUJ8","PARE_PSEAE","reviewed","DNA topoisomerase 4 subunit B (EC 5.99.1.3) (Topoisomerase IV subunit B)","parE PA4967","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",629,"5.99.1.3","879897;","pae:PA4967;",NA,NA,"NP_253654.1;WP_003102062.1;",NA,"chromosome [GO:0005694]; DNA topoisomerase IV complex [GO:0009340]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]","GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0006265; GO:0007059; GO:0009340; GO:0046872",NA,"","GO:0003677 GO:0003918 GO:0005524 GO:0005694 GO:0006265 GO:0007059 GO:0009340 GO:0046872"
"3","Q9I6R0","PCAF_PSEAE","reviewed","Beta-ketoadipyl-CoA thiolase (EC 2.3.1.174) (3-oxoadipyl-CoA thiolase)","pcaF PA0228","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",401,"2.3.1.174","877715;","pae:PA0228;",NA,NA,"NP_248919.1;WP_003101891.1;",NA,"3-oxoadipyl-CoA thiolase activity [GO:0033812]; acetyl-CoA C-acyltransferase activity [GO:0003988]; 3,4-dihydroxybenzoate catabolic process [GO:0019619]; beta-ketoadipate pathway [GO:0042952]; fatty acid beta-oxidation [GO:0006635]; phenylacetate catabolic process [GO:0010124]","GO:0003988; GO:0006635; GO:0010124; GO:0019619; GO:0033812; GO:0042952",NA,"","GO:0003988 GO:0006635 GO:0010124 GO:0019619 GO:0033812 GO:0042952"
"4","Q51507","PCHB_PSEAE","reviewed","Isochorismate pyruvate lyase (IPL) (EC 4.2.99.21) (Chorismate mutase) (CM) (EC 5.4.99.5) (Salicylate biosynthesis protein)","pchB PA4230","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",101,"4.2.99.21; 5.4.99.5","881846;","pae:PA4230;",NA,NA,"NP_252920.1;WP_003106950.1;",NA,"carbon-oxygen lyase activity [GO:0016835]; chorismate mutase activity [GO:0004106]; isochorismate pyruvate lyase activity [GO:0043904]; chorismate metabolic process [GO:0046417]; pyochelin biosynthetic process [GO:0042864]; salicylic acid biosynthetic process [GO:0009697]","GO:0004106; GO:0009697; GO:0016835; GO:0042864; GO:0043904; GO:0046417",NA,"","GO:0004106 GO:0009697 GO:0016835 GO:0042864 GO:0043904 GO:0046417"
"5","Q9I5U4","PDXA_PSEAE","reviewed","4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)","pdxA PA0593","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",328,"1.1.1.262","880733;","pae:PA0593;",NA,NA,"NP_249284.1;WP_003109023.1;",NA,"cytoplasm [GO:0005737]; 4-hydroxythreonine-4-phosphate dehydrogenase activity [GO:0050570]; cobalt ion binding [GO:0050897]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]","GO:0000287; GO:0005737; GO:0008270; GO:0008615; GO:0042823; GO:0050570; GO:0050897; GO:0051287",NA,"","GO:0000287 GO:0005737 GO:0008270 GO:0008615 GO:0042823 GO:0050570 GO:0050897 GO:0051287"
"6","Q9I1Q5","PDXAL_PSEAE","reviewed","Putative 4-hydroxythreonine-4-phosphate dehydrogenase 2 (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase 2)","PA2212","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",337,"1.1.1.262","881915;","pae:PA2212;",NA,NA,"NP_250902.1;WP_003113700.1;",NA,"cytoplasm [GO:0005737]; 4-hydroxythreonine-4-phosphate dehydrogenase activity [GO:0050570]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0046872; GO:0050570; GO:0051287",NA,"","GO:0005737 GO:0008615 GO:0046872 GO:0050570 GO:0051287"
"7","Q9I1M2","ODBA_PSEAE","reviewed","2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDH E1-alpha)","bkdA1 PA2247","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",410,"1.2.4.4","877901;","pae:PA2247;",NA,NA,"NP_250937.1;WP_003111886.1;",NA,"3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity [GO:0003863]; alpha-ketoacid dehydrogenase activity [GO:0003826]; branched-chain amino acid catabolic process [GO:0009083]","GO:0003826; GO:0003863; GO:0009083",NA,"","GO:0003826 GO:0003863 GO:0009083"
"8","Q9I1M1","ODBB_PSEAE","reviewed","2-oxoisovalerate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDH E1-beta)","bkdA2 PA2248","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",350,"1.2.4.4","879226;","pae:PA2248;",NA,NA,"NP_250938.1;WP_003089248.1;",NA,"3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity [GO:0003863]; alpha-ketoacid dehydrogenase activity [GO:0003826]; branched-chain amino acid catabolic process [GO:0009083]; response to nutrient [GO:0007584]","GO:0003826; GO:0003863; GO:0007584; GO:0009083",NA,"","GO:0003826 GO:0003863 GO:0007584 GO:0009083"
"9","P72171","ORUR_PSEAE","reviewed","Ornithine utilization regulator","oruR PA0831","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",339,"","878384;","pae:PA0831;",NA,NA,"NP_249522.1;WP_003114220.1;",NA,"DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region DNA binding [GO:0044212]; ornithine catabolic process [GO:0006593]","GO:0003700; GO:0006593; GO:0043565; GO:0044212",NA,"","GO:0003700 GO:0006593 GO:0043565 GO:0044212"
"10","Q9I6Z0","OXODE_PSEAE","reviewed","8-oxoguanine deaminase (EC 3.5.4.32)","PA0142","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",449,"3.5.4.32","879447;","pae:PA0142;",NA,NA,"NP_248832.1;WP_003112635.1;",NA,"8-oxoguanine deaminase activity [GO:0102127]; metal ion binding [GO:0046872]","GO:0046872; GO:0102127",NA,"","GO:0046872 GO:0102127"
